track_name,artist,energy,danceability,valence,tempo
Everything I Love,Morgan Wallen,0.85,0.5613811905827353,0.72,113
Sial,Mahalini,0.43,0.5629441377850095,0.2,159
LLYLM,ROSALï¿½,0.63,0.5655788317765448,0.56,101
good 4 u,Olivia Rodrigo,0.66,0.5660641764729971,0.68,139
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",0.67,0.5674156934142656,0.16,101
Lï¿½ï¿½ï¿,Stromae,0.55,0.5690622851837311,0.58,137
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",0.76,0.5683585999343331,0.61,124
Forever,Labrinth,0.46,0.5694685167665304,0.19,144
Angel Baby,Troye Sivan,0.57,0.5693168825007117,0.41,125
Despuï¿½ï¿½s de la P,Bad Bunny,0.9,0.5680356355914273,0.61,86
Worldwide Steppers,Kendrick Lamar,0.47,0.56135863833386,0.56,107
Yet To Come,BTS,0.89,0.56724558644459,0.68,93
Little Freak,Harry Styles,0.54,0.5666121861215212,0.4,138
Love Of My Life,Harry Styles,0.54,0.5698013623151668,0.2,139
Me and Your Mama,Childish Gambino,0.45,0.5604984463002716,0.25,155
"Come Back Home - From ""Purple Hearts""",Sofia Carson,0.53,0.5622733491597214,0.43,85
The Scientist,Coldplay,0.44,0.5669930272433118,0.21,142
un x100to,"Bad Bunny, Grupo Frontera",0.72,0.5780445747490949,0.56,128
ýýýýýýýýýýýý,YOASOBI,0.94,0.579639742838796,0.84,139
Take Me To Church,Hozier,0.66,0.5767417183253575,0.41,149
Take On Me,a-ha,0.9,0.5713471709049291,0.86,72
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",0.59,0.5710335593219245,0.8,89
Heaven,Niall Horan,0.76,0.5792653211201004,0.68,128
"Sex, Drugs, Etc.",Beach Weather,0.84,0.5703191482861666,0.47,105
Softcore,The Neighbourhood,0.58,0.5744396673864621,0.36,88
Shallow,"Lady Gaga, Bradley Cooper",0.4,0.5792513316401802,0.3,159
Formula,Labrinth,0.66,0.5706146292208705,0.23,136
Falling,Harry Styles,0.27,0.5777061715940753,0.06,88
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",0.82,0.5770065268045302,0.71,89
Only Love Can Hurt Like This,Paloma Faith,0.89,0.5788427535676273,0.3,140
we fell in love in october,girl in red,0.37,0.579844413960702,0.24,121
Celestial,Ed Sheeran,0.85,0.5773145263165237,0.5,102
The Great War,Taylor Swift,0.74,0.5780844024970087,0.55,109
Here With Me,d4vd,0.48,0.587352872007752,0.27,108
I Love You So,The Walters,0.67,0.5897168461510184,0.46,151
Kahani Suno 2.0,Kaifi Khalil,0.38,0.5821328852599421,0.26,70
My Universe,"Coldplay, BTS",0.68,0.5897355431396573,0.42,80
After Dark,Mr.Kitty,0.6,0.5850677675749556,0.04,126
WORTH NOTHING,"Twisted, Oliver Tree",0.62,0.5817554125953313,0.17,158
KICK BACK,Kenshi Yonezu,0.94,0.5805953950300652,0.29,119
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",0.57,0.5855609411487737,0.44,92
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",0.45,0.5847273009071844,0.83,100
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",0.6,0.5840007322331855,0.44,111
Plan A,Paulo Londra,0.83,0.5861379384254761,0.56,76
MANIAC,Stray Kids,0.8,0.5843160634747754,0.71,85
San Lucas,Kevin Kaarl,0.36,0.5848571822464195,0.27,159
Satellite,Harry Styles,0.46,0.589838023461424,0.3,129
Afraid To Feel,LF System,0.91,0.5837696143048178,0.68,71
Die For You,The Weeknd,0.52,0.5959280871903863,0.51,70
People,Libianca,0.42,0.596384313469717,0.71,117
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",0.76,0.5987566002803559,0.48,81
Stargirl Interlude,"The Weeknd, Lana Del Rey",0.48,0.5961204962566393,0.52,138
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",0.6,0.592762362641637,0.26,106
Erro Gostoso - Ao Vivo,Simone Mendes,0.89,0.5943596610435626,0.63,101
No Se Va,Grupo Frontera,0.53,0.5980806689912902,0.69,78
METAMORPHOSIS,INTERWORLD,0.64,0.5920980036029843,0.15,88
Set Me Free Pt.2,Jimin,0.82,0.5984565150205734,0.56,117
Something in the Orange,Zach Bryan,0.38,0.5979790613714883,0.22,149
Miss You,"Robin Schulz, Oliver Tree",0.74,0.5951574390323927,0.2,72
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",0.56,0.598926095385902,0.44,89
Hype Boy,NewJeans,0.94,0.5994379693449075,0.78,93
Bloody Mary,Lady Gaga,0.65,0.595096181024888,0.49,123
Merry Christmas,"Ed Sheeran, Elton John",0.94,0.591269493195467,0.6,102
Toxic,BoyWithUke,0.61,0.5901622453977344,0.69,93
drivers license,Olivia Rodrigo,0.43,0.5969819659874155,0.21,144
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0.62,0.5962576606715219,0.72,141
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",0.63,0.5951586307306264,0.56,105
Daddy Issues,The Neighbourhood,0.52,0.596162556247692,0.33,107
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",0.74,0.5960912055500656,0.7,153
Ya No Somos Ni Seremos,Christian Nodal,0.45,0.590836836615117,0.73,158
Hope,XXXTENTACION,0.46,0.5946935472195507,0.23,94
Cool for the Summer,Demi Lovato,0.62,0.5907423277813123,0.3,87
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",0.6,0.5983990394166674,0.62,151
Style,Taylor Swift,0.79,0.6049119252268484,0.48,135
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",0.91,0.6056290554103583,0.23,123
Perfect,Ed Sheeran,0.45,0.6031211815598119,0.17,104
Those Eyes,New West,0.35,0.6074571158799631,0.24,149
When I Was Your Man,Bruno Mars,0.27,0.6035043902894437,0.43,130
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",0.53,0.600861101375776,0.13,110
Easy On Me,Adele,0.37,0.6017726265864676,0.13,102
Double Fantasy (with Future),"The Weeknd, Future",0.57,0.609073937696895,0.1,137
Dark Red,Steve Lacy,0.78,0.6000613576562772,0.77,102
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,0.76,0.6044215932320685,0.52,83
Do They Know It's Christmas? - 1984 Version,Band Aid,0.57,0.6028842181425249,0.23,90
Special,SZA,0.2,0.6062689567546314,0.19,117
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",0.32,0.607656126806376,0.86,89
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",0.47,0.6047985812283345,0.45,77
Bored,Billie Eilish,0.33,0.604379271978233,0.11,76
Blessed-Cursed,ENHYPEN,0.89,0.6084884527923528,0.4,136
Ginseng Strip 2002,Yung Lean,0.71,0.604344898946882,0.37,86
Cigarettes,Juice WRLD,0.62,0.6005419397483363,0.47,102
When You're Gone,Shawn Mendes,0.69,0.605659192004801,0.58,117
Born Singer,BTS,0.84,0.6084074245201844,0.68,145
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",0.71,0.6064435620716335,0.46,128
My Mind & Me,Selena Gomez,0.39,0.6066315074383803,0.24,155
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",0.73,0.6122113974911415,0.39,91
cardigan,Taylor Swift,0.58,0.6157785033521807,0.53,99
Sweater Weather,The Neighbourhood,0.81,0.6138107979617389,0.41,107
Dandelions,Ruth B.,0.69,0.6150829721723143,0.45,120
Set Fire to the Rain,Adele,0.68,0.6106407173082057,0.47,123
Ghost,Justin Bieber,0.74,0.6143096033387953,0.41,77
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",0.48,0.619915412002761,0.2,96
One Thing At A Time,Morgan Wallen,0.91,0.6122809233114872,0.92,96
Far,SZA,0.55,0.6112619824447827,0.48,90
MONTERO (Call Me By Your Name),Lil Nas X,0.51,0.6137131128505314,0.76,99
HEARTBREAK ANNIVERSARY,Giveon,0.46,0.6179449881578372,0.59,97
she's all i wanna be,Tate McRae,0.64,0.6142527241274768,0.65,133
Something Just Like This,"The Chainsmokers, Coldplay",0.65,0.6107038099323373,0.47,138
Photograph,Ed Sheeran,0.38,0.6194323244820328,0.2,130
Love Yourself,Justin Bieber,0.38,0.610469568596415,0.53,117
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",0.71,0.6125362758576631,0.66,88
Callaita,"Bad Bunny, Tainy",0.62,0.6169580677171873,0.24,73
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",0.9,0.6197358945984884,0.32,104
GIVENCHY,Duki,0.62,0.6166895043607661,0.38,133
Alone,Burna Boy,0.67,0.6178586514421872,0.32,118
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",0.78,0.6271133370560443,0.55,86
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,0.53,0.6219346538738294,0.19,113
Take Two,BTS,0.59,0.6244434693773947,0.57,99
Mockingbird,Eminem,0.67,0.6296665859665017,0.24,115
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",0.8,0.6243618811326214,0.55,75
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",0.62,0.6295316236857753,0.07,106
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",0.66,0.6220478433343789,0.56,93
Like Crazy (English Version),Jimin,0.76,0.6284609390188547,0.32,115
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",0.43,0.6220783656247567,0.59,122
NEW MAGIC WAND,"Tyler, The Creator",0.73,0.6232707640006226,0.46,129
Con La Brisa,"Ludwig Goransson, Foudeqush",0.44,0.6206871876575859,0.25,132
Like Crazy,Jimin,0.73,0.6320629946376954,0.36,154
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",0.34,0.6399302637972809,0.36,101
MONTAGEM - FR PUNK,"Ayparia, unxbected",0.82,0.630896490735884,0.84,156
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",0.93,0.6312686660367642,0.88,102
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",0.54,0.6393303970228709,0.22,136
Just The Way You Are,Bruno Mars,0.85,0.6385215115334476,0.46,87
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,0.73,0.6333587755755993,0.49,94
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",0.92,0.6300746458407818,0.75,123
Gangsta's Paradise,"Coolio, L.V.",0.61,0.6305613026507,0.4,127
Running Up That Hill (A Deal With God),Kate Bush,0.55,0.6334158567520631,0.2,136
